From North Campus: Ellicott,,11:15,12:15,1:15,2:15,3:15,4:15,5:15,6:15
From North Campus: Lee Loop,,11:23,12:23,1:23,2:23,3:23,4:23,5:23,6:23
From North Campus: Governors,,11:25,12:25,1:25,2:25,3:25,4:25,5:25,6:25
From North Campus: Flint Loop,,11:30,12:30,1:30,2:30,,4:30,5:30,6:30
From North Campus: Service Center Road,,11:31,12:31,1:31,2:31,,4:31,5:31,6:31
From North Campus: Maynard,,11:37,12:37,1:37,2:37,,4:37,5:37,6:37
From North Campus: Goodyear,,11:41,12:41,1:41,2:41,,4:41,5:41,6:41
From South Campus: Main Circle,,11:45,12:45,1:45,2:45,,4:45,5:45,6:45
From South Campus: Maynard,,11:49,12:49,1:49,2:49,,4:49,5:49,6:49
From South Campus: Service Center Road,,11:55,12:55,1:55,2:55,,4:55,5:55,6:55
From South Campus: Flint Loop,11:00,12:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00
From South Campus: Governors,11:03,12:03,1:03,2:03,3:03,4:03,5:03,6:03,7:03
From South Campus: Arrive Lee Loop,11:10,12:10,1:10,2:10,3:10,4:10,5:10,6:10,7:10
